arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
advanced_alchemy/__main__.py,1,1.0,1,1,A,,run_cli,4
advanced_alchemy/cache/config.py,1,1.0,1,1,A,,_default_arguments,9
advanced_alchemy/cache/_null.py,19,1.0,1,19,A,SyncCacheRegionProtocol,get,22
advanced_alchemy/extensions/flask/cli.py,2,1.0,1,2,A,,get_database_migration_plugin,20
advanced_alchemy/extensions/flask/utils.py,1,1.0,1,1,A,FlaskServiceMixin,jsonify,20
advanced_alchemy/extensions/litestar/cli.py,2,1.0,1,2,A,,get_database_migration_plugin,15
advanced_alchemy/extensions/litestar/plugins/init/config/engine.py,1,1.0,1,1,A,,serializer,11
advanced_alchemy/mixins/slug.py,4,1.0,1,4,A,SlugKey,slug,15
advanced_alchemy/types/file_object/base.py,10,1.0,1,10,A,StorageBackend,__init__,34
advanced_alchemy/types/file_object/_typing.py,4,1.0,1,4,A,GetCoreSchemaHandler,__call__,22
advanced_alchemy/routing/context.py,6,1.17,2,7,A,,should_use_primary,162
advanced_alchemy/_typing.py,21,1.24,3,26,A,BaseModelLike,model_dump,102
advanced_alchemy/types/mutables.py,17,1.24,3,21,A,MutableList,coerce,30
advanced_alchemy/repository/_typing.py,4,1.25,2,5,A,,is_numpy_array_stub,15
advanced_alchemy/extensions/fastapi/cli.py,3,1.33,2,4,A,,get_database_migration_plugin,12
advanced_alchemy/extensions/litestar/_utils.py,3,1.33,2,4,A,,get_aa_scope_state,15
advanced_alchemy/extensions/litestar/plugins/__init__.py,3,1.33,2,4,A,SQLAlchemyPlugin,__init__,20
advanced_alchemy/routing/selectors.py,9,1.33,2,12,A,RoundRobinSelector,__init__,122
advanced_alchemy/types/password_hash/base.py,15,1.4,3,21,A,HashedPassword,verify_and_update,106
advanced_alchemy/extensions/sanic/extension.py,34,1.44,6,49,B,AdvancedAlchemy,get_config,109
advanced_alchemy/alembic/commands.py,19,1.47,4,28,A,AlembicCommandConfig,__init__,39
advanced_alchemy/mixins/sentinel.py,2,1.5,2,3,A,SentinelMixin,__init_subclass__,19
