arquivo,mi,rank_mi
advanced_alchemy/repository/_async.py,0.0,C
advanced_alchemy/repository/_sync.py,0.0,C
advanced_alchemy/utils/serialization.py,21.0395,A
advanced_alchemy/repository/memory/_async.py,22.686,A
advanced_alchemy/repository/memory/_sync.py,22.8584,A
advanced_alchemy/_listeners.py,27.7398,A
advanced_alchemy/filters.py,33.0263,A
advanced_alchemy/extensions/litestar/store.py,34.3506,A
advanced_alchemy/cache/manager.py,37.8148,A
advanced_alchemy/repository/_util.py,37.881,A
advanced_alchemy/extensions/litestar/dto.py,42.3821,A
advanced_alchemy/extensions/fastapi/providers.py,43.6171,A
advanced_alchemy/cli.py,43.8606,A
advanced_alchemy/extensions/starlette/config.py,44.4678,A
advanced_alchemy/types/encrypted_string.py,44.6188,A
advanced_alchemy/extensions/litestar/session.py,44.8378,A
advanced_alchemy/operations.py,45.7251,A
advanced_alchemy/extensions/sanic/config.py,46.2562,A
advanced_alchemy/extensions/litestar/providers.py,46.2829,A
advanced_alchemy/repository/memory/base.py,47.2312,A
advanced_alchemy/service/_async.py,47.6925,A
advanced_alchemy/service/_sync.py,47.7368,A
advanced_alchemy/base.py,49.0563,A
advanced_alchemy/types/file_object/file.py,50.8573,A
advanced_alchemy/types/file_object/session_tracker.py,53.2828,A
advanced_alchemy/utils/dependencies.py,53.3856,A
advanced_alchemy/service/_util.py,54.1406,A
advanced_alchemy/config/common.py,54.1634,A
advanced_alchemy/extensions/starlette/extension.py,54.471,A
advanced_alchemy/types/password_hash/base.py,55.6016,A
advanced_alchemy/utils/fixtures.py,56.7572,A
advanced_alchemy/types/file_object/backends/obstore.py,56.7986,A
advanced_alchemy/types/guid.py,57.118,A
advanced_alchemy/utils/cli_tools.py,57.3565,A
advanced_alchemy/extensions/sanic/extension.py,57.5691,A
advanced_alchemy/extensions/flask/config.py,57.6204,A
advanced_alchemy/_typing.py,58.0435,A
advanced_alchemy/types/file_object/backends/fsspec.py,58.9777,A
advanced_alchemy/extensions/litestar/plugins/init/config/asyncio.py,59.0442,A
advanced_alchemy/extensions/litestar/plugins/init/config/sync.py,59.0841,A
advanced_alchemy/utils/sync_tools.py,59.7833,A
advanced_alchemy/exceptions.py,60.6175,A
advanced_alchemy/routing/maker.py,61.0836,A
advanced_alchemy/extensions/flask/extension.py,61.3972,A
advanced_alchemy/extensions/litestar/plugins/init/plugin.py,63.2191,A
advanced_alchemy/utils/portals.py,63.6603,A
advanced_alchemy/types/password_hash/one_time_code.py,64.089,A
advanced_alchemy/types/json.py,64.5992,A
advanced_alchemy/routing/session.py,64.8585,A
advanced_alchemy/alembic/commands.py,67.4203,A
advanced_alchemy/mixins/audit.py,68.0142,A
advanced_alchemy/routing/selectors.py,68.6905,A
advanced_alchemy/config/asyncio.py,70.515,A
advanced_alchemy/alembic/utils.py,70.9096,A
advanced_alchemy/mixins/uuid.py,71.2126,A
advanced_alchemy/config/sync.py,71.3825,A
advanced_alchemy/extensions/litestar/plugins/serialization.py,71.5549,A
advanced_alchemy/routing/context.py,71.9279,A
advanced_alchemy/utils/dataclass.py,72.6959,A
advanced_alchemy/types/file_object/registry.py,73.176,A
advanced_alchemy/repository/_typing.py,73.4022,A
advanced_alchemy/types/totp.py,73.776,A
advanced_alchemy/types/file_object/data_type.py,74.1093,A
advanced_alchemy/extensions/fastapi/extension.py,75.0156,A
advanced_alchemy/mixins/bigint.py,75.5246,A
advanced_alchemy/types/vector.py,75.7959,A
advanced_alchemy/types/datetime.py,76.6567,A
advanced_alchemy/config/routing.py,76.7851,A
advanced_alchemy/mixins/unique.py,77.9872,A
advanced_alchemy/cache/serializers.py,78.4764,A
advanced_alchemy/types/file_object/_utils.py,79.4916,A
advanced_alchemy/utils/singleton.py,79.7813,A
advanced_alchemy/alembic/templates/asyncio/env.py,80.0405,A
advanced_alchemy/mixins/nanoid.py,80.4585,A
advanced_alchemy/alembic/templates/sync/env.py,80.7531,A
advanced_alchemy/utils/deprecation.py,81.4705,A
advanced_alchemy/utils/module_loader.py,81.5153,A
advanced_alchemy/types/boolean.py,81.5667,A
advanced_alchemy/utils/text.py,81.899,A
advanced_alchemy/types/mutables.py,82.1286,A
advanced_alchemy/types/password_hash/argon2.py,83.3746,A
advanced_alchemy/types/password_hash/passlib.py,83.6782,A
advanced_alchemy/mixins/slug.py,84.9039,A
advanced_alchemy/types/password_hash/pwdlib.py,86.8402,A
advanced_alchemy/typing.py,87.1149,A
advanced_alchemy/service/typing.py,87.4472,A
advanced_alchemy/extensions/fastapi/cli.py,94.1004,A
advanced_alchemy/_serialization.py,97.6912,A
advanced_alchemy/__init__.py,100.0,A
advanced_alchemy/__main__.py,100.0,A
advanced_alchemy/__metadata__.py,100.0,A
advanced_alchemy/alembic/__init__.py,100.0,A
advanced_alchemy/cache/config.py,100.0,A
advanced_alchemy/cache/_null.py,100.0,A
advanced_alchemy/cache/__init__.py,100.0,A
advanced_alchemy/config/engine.py,100.0,A
advanced_alchemy/config/types.py,100.0,A
advanced_alchemy/config/__init__.py,100.0,A
advanced_alchemy/extensions/__init__.py,100.0,A
advanced_alchemy/extensions/fastapi/config.py,100.0,A
advanced_alchemy/extensions/fastapi/__init__.py,100.0,A
advanced_alchemy/extensions/flask/cli.py,100.0,A
advanced_alchemy/extensions/flask/utils.py,100.0,A
advanced_alchemy/extensions/flask/__init__.py,100.0,A
advanced_alchemy/extensions/litestar/cli.py,100.0,A
advanced_alchemy/extensions/litestar/exception_handler.py,100.0,A
advanced_alchemy/extensions/litestar/_utils.py,100.0,A
advanced_alchemy/extensions/litestar/__init__.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/_slots_base.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/__init__.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/init/__init__.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/init/config/common.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/init/config/engine.py,100.0,A
advanced_alchemy/extensions/litestar/plugins/init/config/__init__.py,100.0,A
advanced_alchemy/extensions/sanic/__init__.py,100.0,A
advanced_alchemy/extensions/starlette/__init__.py,100.0,A
advanced_alchemy/mixins/sentinel.py,100.0,A
advanced_alchemy/mixins/__init__.py,100.0,A
advanced_alchemy/repository/typing.py,100.0,A
advanced_alchemy/repository/__init__.py,100.0,A
advanced_alchemy/repository/memory/__init__.py,100.0,A
advanced_alchemy/routing/__init__.py,100.0,A
advanced_alchemy/service/pagination.py,100.0,A
advanced_alchemy/service/__init__.py,100.0,A
advanced_alchemy/types/identity.py,100.0,A
advanced_alchemy/types/__init__.py,100.0,A
advanced_alchemy/types/file_object/base.py,100.0,A
advanced_alchemy/types/file_object/_typing.py,100.0,A
advanced_alchemy/types/file_object/__init__.py,100.0,A
advanced_alchemy/types/file_object/backends/__init__.py,100.0,A
advanced_alchemy/types/password_hash/__init__.py,100.0,A
advanced_alchemy/utils/__init__.py,100.0,A
