arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
advanced_alchemy/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/__metadata__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/alembic/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/cache/_null.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/cache/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/cache/config.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/config/types.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/config/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/fastapi/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/fastapi/config.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/flask/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/flask/cli.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/flask/utils.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/_utils.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/cli.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/exception_handler.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/_slots_base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/init/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/init/config/common.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/init/config/engine.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/litestar/plugins/init/config/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/sanic/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/extensions/starlette/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/mixins/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/mixins/sentinel.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/repository/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/repository/typing.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/repository/memory/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/routing/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/service/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/service/pagination.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/identity.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/file_object/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/file_object/_typing.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/file_object/base.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/file_object/backends/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/types/password_hash/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/mixins/slug.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/types/mutables.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/types/password_hash/passlib.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/types/password_hash/pwdlib.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/__main__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/_serialization.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/typing.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/extensions/fastapi/cli.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/mixins/audit.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/repository/_typing.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/routing/context.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/service/typing.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/utils/singleton.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/types/password_hash/argon2.py,arquivo,,1,2,2,2,3,4,2.0,6.3399,0.5,3.1699,0.1761,0.0021
advanced_alchemy/alembic/utils.py,arquivo,,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
advanced_alchemy/mixins/unique.py,arquivo,,1,6,3,6,7,9,15.5098,25.2662,0.5,12.6331,0.7018,0.0084
advanced_alchemy/routing/selectors.py,arquivo,,2,3,3,4,5,7,6.7549,16.2535,1.3333,21.6713,1.204,0.0054
advanced_alchemy/types/password_hash/base.py,arquivo,,2,5,3,5,7,8,13.6096,22.4588,1.0,22.4588,1.2477,0.0075
advanced_alchemy/alembic/templates/asyncio/env.py,arquivo,,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
advanced_alchemy/alembic/templates/sync/env.py,arquivo,,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
advanced_alchemy/extensions/fastapi/extension.py,arquivo,,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
advanced_alchemy/types/file_object/data_type.py,arquivo,,2,7,4,7,9,11,21.6515,34.8692,1.0,34.8692,1.9372,0.0116
advanced_alchemy/types/datetime.py,arquivo,,2,6,4,7,8,11,17.5098,33.0,1.1667,38.5,2.1389,0.011
advanced_alchemy/utils/text.py,arquivo,,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
advanced_alchemy/cache/serializers.py,arquivo,,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
advanced_alchemy/types/vector.py,arquivo,,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
advanced_alchemy/utils/module_loader.py,arquivo,,3,7,4,7,10,11,24.4064,36.5412,1.5,54.8118,3.0451,0.0122
advanced_alchemy/types/totp.py,arquivo,,3,6,5,7,9,12,20.2647,38.0391,1.75,66.5684,3.6982,0.0127
advanced_alchemy/utils/deprecation.py,arquivo,,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
advanced_alchemy/mixins/nanoid.py,arquivo,,3,8,6,8,11,14,28.7549,48.432,1.5,72.6481,4.036,0.0161
advanced_alchemy/types/file_object/registry.py,arquivo,,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
advanced_alchemy/types/boolean.py,arquivo,,4,8,4,8,12,12,32.0,43.0196,2.0,86.0391,4.78,0.0143
advanced_alchemy/config/engine.py,arquivo,,3,7,5,9,10,14,24.4064,46.507,1.9286,89.6921,4.9829,0.0155
advanced_alchemy/alembic/commands.py,arquivo,,4,8,5,10,12,15,32.0,53.7744,2.5,134.4361,7.4687,0.0179
advanced_alchemy/extensions/litestar/plugins/init/plugin.py,arquivo,,5,11,6,11,16,17,49.6634,68.0,2.5,170.0,9.4444,0.0227
advanced_alchemy/types/file_object/_utils.py,arquivo,,5,12,7,14,17,21,54.6292,85.8367,2.9167,250.3571,13.9087,0.0286
advanced_alchemy/routing/session.py,arquivo,,5,14,8,15,19,23,64.9126,97.7023,2.6786,261.7027,14.539,0.0326
advanced_alchemy/config/asyncio.py,arquivo,,3,10,9,18,13,27,37.9742,99.9119,2.7,269.7621,14.9868,0.0333
advanced_alchemy/config/sync.py,arquivo,,3,10,9,18,13,27,37.9742,99.9119,2.7,269.7621,14.9868,0.0333
advanced_alchemy/mixins/bigint.py,arquivo,,3,15,12,21,18,33,63.3582,137.6075,2.1,288.9758,16.0542,0.0459
advanced_alchemy/_typing.py,arquivo,,2,15,14,27,17,41,60.6034,167.586,1.8,301.6548,16.7586,0.0559
advanced_alchemy/exceptions.py,arquivo,,5,14,9,17,19,26,64.9126,110.4461,3.0357,335.2829,18.6268,0.0368
advanced_alchemy/extensions/litestar/plugins/serialization.py,arquivo,,6,15,8,16,21,24,74.1131,105.4156,3.2,337.33,18.7406,0.0351
advanced_alchemy/types/file_object/session_tracker.py,arquivo,,5,15,10,18,20,28,70.213,121.014,3.0,363.042,20.169,0.0403
advanced_alchemy/mixins/uuid.py,arquivo,,4,16,14,20,20,34,72.0,146.9456,2.5,367.3639,20.4091,0.049
advanced_alchemy/types/json.py,arquivo,,6,20,11,20,26,31,101.9483,145.7136,3.0,437.1409,24.2856,0.0486
advanced_alchemy/utils/sync_tools.py,arquivo,,6,19,11,20,25,31,96.2204,143.9595,3.1579,454.6091,25.2561,0.048
advanced_alchemy/types/file_object/backends/fsspec.py,arquivo,,4,26,17,28,30,45,130.2114,220.8101,2.1538,475.5909,26.4217,0.0736
advanced_alchemy/utils/dataclass.py,arquivo,,6,13,9,18,19,27,63.6155,114.694,4.1538,476.4214,26.4679,0.0382
advanced_alchemy/utils/portals.py,arquivo,,6,22,12,23,28,35,113.6173,168.2574,3.1364,527.7165,29.3176,0.0561
advanced_alchemy/utils/dependencies.py,arquivo,,5,29,15,29,34,44,152.4911,223.8484,2.5,559.6209,31.0901,0.0746
advanced_alchemy/extensions/sanic/extension.py,arquivo,,6,20,13,23,26,36,101.9483,169.2158,3.45,583.7946,32.433,0.0564
advanced_alchemy/routing/maker.py,arquivo,,5,19,14,25,24,39,92.3203,178.8135,3.2895,588.2024,32.6779,0.0596
advanced_alchemy/extensions/starlette/extension.py,arquivo,,7,21,13,24,28,37,111.8902,177.8721,4.0,711.4885,39.5271,0.0593
advanced_alchemy/types/file_object/backends/obstore.py,arquivo,,6,28,16,30,34,46,150.1157,234.0233,3.2143,752.2177,41.7899,0.078
advanced_alchemy/extensions/flask/extension.py,arquivo,,7,22,15,26,29,41,117.759,199.1772,4.1364,823.8694,45.7705,0.0664
advanced_alchemy/types/guid.py,arquivo,,5,28,18,36,33,54,146.2156,272.3973,3.2143,875.5627,48.6424,0.0908
advanced_alchemy/types/encrypted_string.py,arquivo,,7,26,18,29,33,47,141.8629,237.0865,3.9038,925.5493,51.4194,0.079
advanced_alchemy/config/routing.py,arquivo,,5,25,19,39,30,58,127.706,284.5997,3.9,1109.9387,61.6633,0.0949
advanced_alchemy/types/password_hash/one_time_code.py,arquivo,,8,28,17,32,36,49,158.6059,253.3263,4.5714,1158.0632,64.3368,0.0844
advanced_alchemy/base.py,arquivo,,7,38,23,44,45,67,219.0727,367.9542,4.0526,1491.1826,82.8435,0.1227
advanced_alchemy/service/_util.py,arquivo,,6,35,27,47,41,74,195.0347,396.4588,4.0286,1597.1628,88.7313,0.1322
advanced_alchemy/utils/cli_tools.py,arquivo,,7,46,26,50,53,76,273.7353,435.322,3.8043,1656.1161,92.0065,0.1451
advanced_alchemy/utils/fixtures.py,arquivo,,3,49,42,80,52,122,279.8757,695.4536,2.449,1703.1518,94.6195,0.2318
advanced_alchemy/types/file_object/file.py,arquivo,,6,38,28,51,44,79,214.931,431.2951,4.0263,1736.5303,96.4739,0.1438
advanced_alchemy/repository/memory/base.py,arquivo,,8,43,27,47,51,74,257.3294,419.7595,4.3721,1835.2275,101.9571,0.1399
advanced_alchemy/extensions/litestar/plugins/init/config/sync.py,arquivo,,9,34,21,42,43,63,201.5031,341.8547,5.5588,1900.3098,105.5728,0.114
advanced_alchemy/service/_async.py,arquivo,,6,43,31,56,49,87,248.8392,488.4798,3.907,1908.479,106.0266,0.1628
advanced_alchemy/service/_sync.py,arquivo,,6,43,31,56,49,87,248.8392,488.4798,3.907,1908.479,106.0266,0.1628
advanced_alchemy/cli.py,arquivo,,10,37,23,44,47,67,225.9691,372.1575,5.9459,2212.8281,122.9349,0.1241
advanced_alchemy/cache/manager.py,arquivo,,6,69,44,76,75,120,436.998,747.4582,3.3043,2469.862,137.2146,0.2492
advanced_alchemy/extensions/litestar/plugins/init/config/asyncio.py,arquivo,,10,39,24,48,49,72,239.35,404.2591,6.1538,2487.7484,138.2082,0.1348
advanced_alchemy/config/common.py,arquivo,,6,46,35,70,52,105,269.5936,598.5462,4.5652,2732.4934,151.8052,0.1995
advanced_alchemy/extensions/litestar/providers.py,arquivo,,10,48,29,56,58,85,301.2975,497.9284,5.8333,2904.5822,161.3657,0.166
advanced_alchemy/extensions/litestar/dto.py,arquivo,,8,70,43,80,78,123,453.0498,773.1045,4.5714,3534.1919,196.344,0.2577
advanced_alchemy/extensions/litestar/session.py,arquivo,,11,64,36,69,75,105,422.0537,654.026,5.9297,3878.1696,215.4539,0.218
advanced_alchemy/_listeners.py,arquivo,,8,75,54,89,83,143,491.1614,911.6306,4.7467,4327.2068,240.4004,0.3039
advanced_alchemy/extensions/flask/config.py,arquivo,,9,44,38,70,53,108,268.7443,618.6154,7.1591,4428.724,246.0402,0.2062
advanced_alchemy/extensions/sanic/config.py,arquivo,,9,40,38,71,49,109,241.4064,612.0034,7.9875,4888.3769,271.5765,0.204
advanced_alchemy/filters.py,arquivo,,11,37,36,66,48,102,230.8035,569.6662,9.8108,5588.8871,310.4937,0.1899
advanced_alchemy/operations.py,arquivo,,10,67,46,91,77,137,439.6473,858.5498,6.791,5830.4498,323.9139,0.2862
advanced_alchemy/extensions/fastapi/providers.py,arquivo,,11,75,52,96,86,148,505.2151,951.0872,7.04,6695.6538,371.9808,0.317
advanced_alchemy/repository/memory/_async.py,arquivo,,13,76,49,92,89,141,522.9482,913.0784,7.8684,7184.4854,399.1381,0.3044
advanced_alchemy/repository/memory/_sync.py,arquivo,,13,76,49,92,89,141,522.9482,913.0784,7.8684,7184.4854,399.1381,0.3044
advanced_alchemy/extensions/starlette/config.py,arquivo,,10,66,56,101,76,157,432.1493,980.9246,7.6515,7505.5596,416.9755,0.327
advanced_alchemy/repository/_util.py,arquivo,,13,81,55,104,94,159,561.6336,1042.1796,8.3457,8697.6966,483.2054,0.3474
advanced_alchemy/utils/serialization.py,arquivo,,10,158,98,181,168,279,1187.2166,2062.4566,5.7278,11813.4379,656.3021,0.6875
advanced_alchemy/extensions/litestar/store.py,arquivo,,13,129,77,153,142,230,952.554,1644.4418,7.7093,12677.4993,704.3055,0.5481
advanced_alchemy/repository/_async.py,arquivo,,14,305,199,392,319,591,2570.3659,4915.5909,8.9967,44224.201,2456.9001,1.6385
advanced_alchemy/repository/_sync.py,arquivo,,14,305,199,392,319,591,2570.3659,4915.5909,8.9967,44224.201,2456.9001,1.6385
