arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
advanced_alchemy/__main__.py,funcao,run_cli,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,get_file_tracker,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
advanced_alchemy/_listeners.py,funcao,_is_listener_enabled,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,set_async_context,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,reset_async_context,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,is_async_context,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,inspect_instance,1,4,4,4,5,8,8.0,18.5754,0.5,9.2877,0.516,0.0062
advanced_alchemy/_listeners.py,funcao,handle_single_attribute,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
advanced_alchemy/_listeners.py,funcao,_collect_deletions,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
advanced_alchemy/_listeners.py,funcao,_collect_saves,4,10,9,17,14,26,41.2193,98.9912,3.4,336.5702,18.6983,0.033
advanced_alchemy/_listeners.py,funcao,_finalize_mutable_list,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,handle_multiple_attribute,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,process_deleted_instance,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
advanced_alchemy/_listeners.py,funcao,before_flush,1,5,5,5,6,10,11.6096,25.8496,0.5,12.9248,0.718,0.0086
advanced_alchemy/_listeners.py,funcao,after_commit,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/_listeners.py,funcao,after_rollback,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,setup_file_object_listeners,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
advanced_alchemy/_listeners.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,add_invalidation,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,commit,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,rollback,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,commit_async,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_listeners.py,funcao,get_cache_tracker,3,6,3,7,9,10,20.2647,31.6993,1.75,55.4737,3.0819,0.0106
advanced_alchemy/_listeners.py,funcao,setup_cache_listeners,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/_listeners.py,funcao,touch_updated_timestamp,3,11,6,11,14,17,42.8086,64.725,1.5,97.0876,5.3938,0.0216
advanced_alchemy/_listeners.py,funcao,_has_persistent_column_changes,4,6,4,8,10,12,23.5098,39.8631,2.6667,106.3017,5.9056,0.0133
advanced_alchemy/_serialization.py,funcao,__getattr__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
advanced_alchemy/_typing.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,model_dump,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
advanced_alchemy/_typing.py,funcao,model_dump_json,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,validate_python,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,convert_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,create_instance,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,update_instance,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,as_builtins,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,attrs_asdict_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,attrs_define_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,attrs_field_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,attrs_fields_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,attrs_has_stub,0,0,0,0,0,0,0,0,0,0,0,0
advanced_alchemy/_typing.py,funcao,cattrs_unstructure,0,0,0,0,0,0,0,0,0,0,0,0
